Date,YuukiIndex
2023-06-07,11554.44
2023-06-08,11292.09
2023-06-09,11623.56
2023-06-12,11716.05
2023-06-13,11866.6
2023-06-14,11982.88
2023-06-15,11998.99
2023-06-16,12057.74
2023-06-19,11938.93
2023-06-20,11917.0
2023-06-21,11944.58
2023-06-22,11829.6
2023-06-23,11616.18
2023-06-26,11589.19
2023-06-27,11526.43
2023-06-28,11775.05
2023-06-29,11758.29
2023-06-30,11739.98
2023-07-03,12051.02
2023-07-04,11868.8
2023-07-05,11814.23
2023-07-06,11543.94
2023-07-07,11389.86
2023-07-10,11317.77
2023-07-11,11343.05
2023-07-12,11306.92
2023-07-13,11485.8
2023-07-14,11437.54
2023-07-18,11475.91
2023-07-19,11582.02
2023-07-20,11377.8
2023-07-21,11371.71
2023-07-24,11473.96
2023-07-25,11421.19
2023-07-26,11397.65
2023-07-27,11487.24
2023-07-28,11478.86
2023-07-31,11338.87
2023-08-01,11207.01
2023-08-02,11063.16
2023-08-03,10964.87
2023-08-04,10923.5
2023-08-07,10890.18
2023-08-08,10889.54
2023-08-09,10595.79
2023-08-10,10711.83
2023-08-14,10522.42
2023-08-15,10566.17
2023-08-16,10427.48
2023-08-17,10396.11
2023-08-18,10369.83
2023-08-21,10312.56
2023-08-22,10370.76
2023-08-23,10535.22
2023-08-24,10599.05
2023-08-25,10398.4
2023-08-28,10624.69
2023-08-29,10598.11
2023-08-30,10623.6
2023-08-31,10633.63
2023-09-01,10662.72
2023-09-04,10678.88
2023-09-05,10721.47
2023-09-06,10804.35
2023-09-07,10697.61
2023-09-08,10545.34
2023-09-11,10398.94
2023-09-12,10496.69
2023-09-13,10406.35
2023-09-14,10553.91
2023-09-15,10650.16
2023-09-19,10524.03
2023-09-20,10498.76
2023-09-21,10306.91
2023-09-22,10224.79
2023-09-25,10210.84
2023-09-26,10105.69
2023-09-27,10118.28
2023-09-28,10023.58
2023-09-29,10047.24
2023-10-02,10029.15
2023-10-03,9882.31
2023-10-04,9820.58
2023-10-05,9934.88
2023-10-06,9868.32
2023-10-10,10044.44
2023-10-11,10084.49
2023-10-12,10290.27
2023-10-13,10375.62
2023-10-16,10138.84
2023-10-17,10285.44
2023-10-18,10275.13
2023-10-19,10047.3
2023-10-20,9916.42
2023-10-23,9736.26
2023-10-24,9728.36
2023-10-25,9776.76
2023-10-26,9581.9
2023-10-27,9701.02
2023-10-30,9969.55
2023-10-31,10078.47
2023-11-01,10304.25
2023-11-02,10440.61
2023-11-06,10675.03
2023-11-07,10475.45
2023-11-08,10519.4
2023-11-09,10677.81
2023-11-10,10581.15
2023-11-13,10530.99
2023-11-14,10546.55
2023-11-15,10872.69
2023-11-16,10977.38
2023-11-17,10968.64
2023-11-20,10917.85
2023-11-21,10934.26
2023-11-22,11033.99
2023-11-24,10971.55
2023-11-27,10849.99
2023-11-28,10840.26
2023-11-29,10868.28
2023-11-30,10950.07
2023-12-01,10846.08
2023-12-04,10777.41
2023-12-05,10594.13
2023-12-06,10836.37
2023-12-07,10592.62
2023-12-08,10431.19
2023-12-11,10573.37
2023-12-12,10621.9
2023-12-13,10609.83
2023-12-14,10533.01
2023-12-15,10773.85
2023-12-18,10663.5
2023-12-19,10808.09
2023-12-20,10967.29
2023-12-21,10813.88
2023-12-22,10746.42
2023-12-25,10769.66
2023-12-26,10782.37
2023-12-27,10896.76
2023-12-28,10870.57
2023-12-29,10812.79
2024-01-04,10639.62
2024-01-05,10571.07
2024-01-09,10755.43
2024-01-10,11126.29
2024-01-11,11352.33
2024-01-12,11699.01
2024-01-15,11662.36
2024-01-16,11589.0
2024-01-17,11529.69
2024-01-18,11487.02
2024-01-19,11530.36
2024-01-22,11719.5
2024-01-23,11719.52
2024-01-24,11559.45
2024-01-25,11565.75
2024-01-26,11557.13
2024-01-29,11616.06
2024-01-30,11722.55
2024-01-31,11690.42
2024-02-01,11587.7
2024-02-02,11580.47
2024-02-05,11768.01
2024-02-06,11499.69
2024-02-07,11246.96
2024-02-08,11422.62
2024-02-09,11501.48
2024-02-13,11648.19
2024-02-14,11629.64
2024-02-15,11783.61
2024-02-16,11962.03
2024-02-19,11912.88
2024-02-20,11887.41
2024-02-21,11876.3
2024-02-22,12046.97
2024-02-26,12191.27
2024-02-27,12224.34
2024-02-28,12118.03
2024-02-29,12083.02
2024-03-01,12273.12
2024-03-04,12410.3
2024-03-05,12549.21
2024-03-06,12466.81
2024-03-07,12272.09
2024-03-08,12272.07
2024-03-11,12052.79
2024-03-12,12073.34
2024-03-13,12015.51
2024-03-14,11993.22
2024-03-15,11961.62
2024-03-18,12326.61
