Date,6701.T,6758.T,9983.T,7974.T,6702.T,6861.T,6367.T,9843.T,8113.T,6594.T
2025-01-08,2635.3876953125,3271.78662109375,51258.12890625,8805.8486328125,2835.206298828125,64140.71875,18435.19921875,3662.434326171875,1239.755859375,2911.021728515625
2025-01-09,2620.50390625,3227.035888671875,51545.0390625,9019.4921875,2818.353515625,62245.46875,18111.083984375,3653.530517578125,1222.90185546875,2906.555419921875
2025-01-10,2599.6669921875,3217.09130859375,48181.25390625,9147.0849609375,2781.1787109375,62959.91015625,18057.064453125,3640.669677734375,1213.4835205078125,2893.15673828125
2025-01-14,2540.132568359375,3137.5341796875,47211.6953125,9230.16796875,2641.896728515625,61640.18359375,17890.09765625,3582.300048828125,1210.0135498046875,2836.583740234375
2025-01-15,2557.00048828125,3188.251953125,47825.09375,9460.625,2666.184326171875,63952.1875,17939.205078125,3580.321533203125,1216.457763671875,2840.0576171875
2025-01-16,2538.148193359375,3180.2958984375,47726.15625,9485.353515625,2646.357666015625,64378.86328125,17909.7421875,3757.408447265625,1205.55224609375,2807.304931640625
2025-01-17,2531.202392578125,3196.20751953125,47548.0703125,9080.81640625,2652.801513671875,65768.046875,18081.619140625,3733.6650390625,1207.0394287109375,2778.522216796875
2025-01-20,2571.88427734375,3221.069091796875,47983.38671875,8803.87109375,2699.39404296875,67147.3125,18395.912109375,3760.37646484375,1214.9705810546875,2776.537109375
2025-01-21,2551.047119140625,3217.09130859375,48507.73828125,8945.310546875,2713.768310546875,66661.1015625,18386.08984375,3789.06640625,1227.36328125,2772.07080078125
2025-01-22,2590.73681640625,3256.869873046875,48576.99609375,9301.3828125,2737.560302734375,67196.9296875,18513.771484375,3733.6650390625,1215.9620361328125,2818.71875
2025-01-23,2576.845458984375,3317.531982421875,49041.98828125,9454.6904296875,2717.733642578125,67524.3828125,18533.4140625,3667.381103515625,1201.0909423828125,2924.420654296875
2025-01-24,2557.00048828125,3233.002685546875,49190.390625,9782.0791015625,2754.90869140625,68010.59375,18548.146484375,3709.92138671875,1210.0135498046875,2832.117431640625
2025-01-27,2567.915283203125,3242.947265625,49467.40625,9686.1376953125,2781.1787109375,67712.9140625,18739.66796875,3609.011474609375,1221.414794921875,2785.9658203125
2025-01-28,2631.41845703125,3338.415771484375,49091.45703125,10138.150390625,2788.61376953125,67960.984375,18636.541015625,3656.49853515625,1228.850341796875,2690.685302734375
